DateTime	Actor	Recipient	Behavior	Category	Duration	Point
08/07/2019 10:56	MALI	NEKKE	Grooming	Affiliative	12	NO
08/07/2019 10:56	MUSE	NEKKE	Grooming	Affiliative	12	NO
08/07/2019 10:56	FEYA	NEKKE	Grooming	Affiliative	12	NO
08/07/2019 10:57	MUSE	NEKKE	Grooming	Affiliative	10	NO
08/07/2019 10:57	FEYA	NEKKE	Grooming	Affiliative	10	NO
08/07/2019 10:57	MALI	NEKKE	Grooming	Affiliative	10	NO
08/07/2019 10:57	FEYA	NEKKE	Grooming	Affiliative	11	NO
08/07/2019 10:57	MALI	NEKKE	Grooming	Affiliative	11	NO
08/07/2019 10:57	MUSE	NEKKE	Grooming	Affiliative	11	NO
08/07/2019 10:57	MUSE	NEKKE	Grooming	Affiliative	11	NO
08/07/2019 10:58	NEKKE	MUSE	Resting	Affiliative	16	NO
08/07/2019 10:58	NEKKE	MALI	Resting	Affiliative	16	NO
08/07/2019 10:58	NEKKE	FEYA	Resting	Affiliative	16	NO
08/07/2019 10:58	NEKKE	MALI	Playing with	Affiliative	3	NO
08/07/2019 10:58	NEKKE		Other	Other	8	NO
08/07/2019 10:58	MALI	NEKKE	Grooming	Affiliative	4	NO
08/07/2019 10:58	NEKKE		Other	Other	18	NO
08/07/2019 10:58	NEKKE	MALI	Playing with	Affiliative	10	NO
08/07/2019 10:59	NEKKE		Other	Other	10	NO
08/07/2019 10:59	NEKKE	MALI	Playing with	Affiliative	15	NO
08/07/2019 10:59	NEKKE		Other	Other	8	NO
08/07/2019 10:59	NEKKE	LIPS	Playing with	Affiliative	6	NO
08/07/2019 10:59	NEKKE		Other	Other	18	NO
08/07/2019 11:00	ATMOSPHERE		Resting	Affiliative	308	NO
08/07/2019 11:05	LOME	MALI	Resting	Affiliative	41	NO
08/07/2019 11:05	LOME	MUSE	Resting	Affiliative	41	NO
08/07/2019 11:06	LOME	MALI	Playing with	Affiliative	5	NO
08/07/2019 11:06	LOME	MUSE	Playing with	Affiliative	5	NO
08/07/2019 11:06	LOME		Other	Other	15	NO
08/07/2019 11:06	LOME	MUSE	Playing with	Affiliative	31	NO
08/07/2019 11:06	LOME	MALI	Playing with	Affiliative	31	NO
08/07/2019 11:07	MALI	LOME	Presenting	Affiliative	0	YES
08/07/2019 11:07	LOME	MAKO	Playing with	Affiliative	19	NO
08/07/2019 11:07	LOME	MALI	Playing with	Affiliative	19	NO
08/07/2019 11:07	LOME		Other	Other	15	NO
08/07/2019 11:07	LOME	MAKO	Playing with	Affiliative	12	NO
08/07/2019 11:07	LOME	MALI	Playing with	Affiliative	12	NO
08/07/2019 11:07	LOME		Other	Other	30	NO
08/07/2019 11:08	LOME	MAKO	Playing with	Affiliative	27	NO
08/07/2019 11:09	LOME		Other	Other	5	NO
08/07/2019 11:09	LOME	MAKO	Playing with	Affiliative	49	NO
08/07/2019 11:10	LOME	MAKO	Playing with	Affiliative	19	NO
08/07/2019 11:10	LOME	MUSE	Playing with	Affiliative	19	NO
08/07/2019 11:10	LOME	MALI	Playing with	Affiliative	19	NO
08/07/2019 11:10	LOME	NEKKE	Playing with	Affiliative	19	NO
08/07/2019 11:10	LOME	MALI	Playing with	Affiliative	5	NO
08/07/2019 11:10	LOME	NEKKE	Playing with	Affiliative	5	NO
08/07/2019 11:10	PIPO	PETOULETTE	Resting	Affiliative	300	NO
08/07/2019 11:10	PIPO	KALI	Resting	Affiliative	300	NO
08/07/2019 11:15	LIPS		Invisible	Other	29	NO
08/07/2019 11:16	LIPS		Other	Other	15	NO
08/07/2019 11:16	LIPS	MAKO	Playing with	Affiliative	7	NO
08/07/2019 11:16	LIPS		Other	Other	75	NO
08/07/2019 11:18	LIPS	MAKO	Playing with	Affiliative	12	NO
08/07/2019 11:18	LIPS	MALI	Playing with	Affiliative	12	NO
08/07/2019 11:18	LIPS	NEKKE	Playing with	Affiliative	12	NO
08/07/2019 11:18	LIPS	LOME	Playing with	Affiliative	12	NO
08/07/2019 11:18	LIPS		Other	Other	20	NO
08/07/2019 11:18	LIPS	MAKO	Playing with	Affiliative	17	NO
08/07/2019 11:18	LIPS		Other	Other	8	NO
08/07/2019 11:19	LIPS	LOME	Playing with	Affiliative	5	NO
08/07/2019 11:19	LIPS		Other	Other	12	NO
08/07/2019 11:19	LIPS	LOME	Playing with	Affiliative	10	NO
08/07/2019 11:19	LIPS	LOME	Playing with	Affiliative	6	NO
08/07/2019 11:19	LIPS	MAKO	Playing with	Affiliative	6	NO
08/07/2019 11:19	LIPS		Other	Other	5	NO
08/07/2019 11:19	LIPS	LOME	Playing with	Affiliative	3	NO
08/07/2019 11:19	LIPS	MAKO	Playing with	Affiliative	3	NO
08/07/2019 11:19	LIPS		Other	Other	4	NO
08/07/2019 11:19	LIPS	LOME	Playing with	Affiliative	13	NO
08/07/2019 11:19	LIPS	MAKO	Playing with	Affiliative	13	NO
08/07/2019 11:20	LIPS		Other	Other	26	NO
08/07/2019 11:20	LIPS	LOME	Playing with	Affiliative	13	NO
08/07/2019 11:20	LIPS	MAKO	Playing with	Affiliative	13	NO
08/07/2019 11:20	PETOULETTE	KALI	Resting	Affiliative	238	NO
08/07/2019 11:20	PETOULETTE	PIPO	Resting	Affiliative	238	NO
08/07/2019 11:24	PETOULETTE	KALI	Resting	Affiliative	68	NO
08/07/2019 11:26	BOBO		Resting	Affiliative	302	NO
08/07/2019 11:29	EWINE	BOBO	Presenting	Affiliative	0	YES
08/07/2019 11:31	EWINE		Other	Other	39	NO
08/07/2019 11:31	EWINE		Invisible	Other	37	NO
08/07/2019 11:32	EWINE		Other	Other	18	NO
08/07/2019 11:32	EWINE	KALI	Grooming	Affiliative	44	NO
08/07/2019 11:33	EWINE		Other	Other	50	NO
08/07/2019 11:34	EWINE	FELIPE	Presenting	Affiliative	0	YES
08/07/2019 11:34	FELIPE	EWINE	Touching	Affiliative	0	YES
08/07/2019 11:34	FELIPE	EWINE	Grunting-Lipsmacking	Affiliative	0	YES
08/07/2019 11:34	EWINE		Resting	Affiliative	11	NO
08/07/2019 11:34	EWINE		Other	Other	18	NO
08/07/2019 11:34	MUSE	EWINE	Presenting	Affiliative	0	YES
08/07/2019 11:34	EWINE	MUSE	Embracing	Affiliative	2	NO
08/07/2019 11:35	EWINE		Resting	Affiliative	69	NO
08/07/2019 11:36	EWINE		Other	Other	8	NO
08/07/2019 11:36	EWINE	KALI	Resting	Affiliative	8	NO
08/07/2019 11:36	FEYA		Other	Other	211	NO
08/07/2019 11:39	FEYA	FELIPE	Presenting	Affiliative	0	YES
08/07/2019 11:39	FEYA	FELIPE	Presenting	Affiliative	0	YES
08/07/2019 11:40	FEYA	FELIPE	Resting	Affiliative	7	NO
08/07/2019 11:40	FEYA	ANGELE	Resting	Affiliative	7	NO
08/07/2019 11:40	FEYA	FELIPE	Presenting	Affiliative	0	YES
08/07/2019 11:40	FEYA		Other	Other	2	NO
08/07/2019 11:40	FEYA	FELIPE	Resting	Affiliative	75	NO
08/07/2019 11:41	HARLEM		Resting	Affiliative	154	NO
08/07/2019 11:44	VIOLETTE	HARLEM	Presenting	Affiliative	0	YES
08/07/2019 11:44	HARLEM	VIOLETTE	Touching	Affiliative	0	YES
08/07/2019 11:44	HARLEM	VIOLETTE	Resting	Affiliative	10	NO
08/07/2019 11:44	HARLEM		Resting	Affiliative	135	NO
08/07/2019 11:46	FELIPE	ANGELE	Resting	Affiliative	130	NO
08/07/2019 11:49	FELIPE		Other	Other	114	NO
08/07/2019 11:50	ARIELLE	FELIPE	Presenting	Affiliative	0	YES
08/07/2019 11:50	FELIPE	ANGELE	Resting	Affiliative	51	NO
08/07/2019 11:51	VIOLETTE		Other	Other	37	NO
08/07/2019 11:52	KALI	VIOLETTE	Grunting-Lipsmacking	Affiliative	0	YES
08/07/2019 11:52	VIOLETTE	KALI	Grunting-Lipsmacking	Affiliative	0	YES
08/07/2019 11:52	VIOLETTE		Resting	Affiliative	90	NO
08/07/2019 11:54	VIOLETTE		Other	Other	166	NO
08/07/2019 11:56	VIOLETTE		Resting	Affiliative	6	NO
08/07/2019 11:57	MALI		Other	Other	303	NO
08/07/2019 12:02	ANGELE		Invisible	Other	305	NO
08/07/2019 12:12	MUSE		Other	Other	44	NO
08/07/2019 12:13	MUSE	NEKKE	Resting	Affiliative	29	NO
08/07/2019 12:13	MUSE		Other	Other	64	NO
08/07/2019 12:14	MUSE	NEKKE	Touching	Affiliative	0	YES
08/07/2019 12:15	MUSE	HARLEM	Resting	Affiliative	98	NO
08/07/2019 12:16	MUSE		Other	Other	12	NO
08/07/2019 12:16	MUSE	NEKKE	Resting	Affiliative	18	NO
08/07/2019 12:16	MUSE	FEYA	Resting	Affiliative	18	NO
08/07/2019 12:17	MUSE	NEKKE	Embracing	Affiliative	13	NO
08/07/2019 12:17	MUSE	NEKKE	Resting	Affiliative	8	NO
08/07/2019 12:17	MAKO		Resting	Affiliative	35	NO
08/07/2019 12:18	MAKO		Other	Other	12	NO
08/07/2019 12:18	MAKO	KALI	Touching	Affiliative	0	YES
08/07/2019 12:18	MAKO	LOME	Playing with	Affiliative	19	NO
08/07/2019 12:18	MAKO	ANGELE	Playing with	Affiliative	15	NO
08/07/2019 12:19	MAKO	LOME	Playing with	Affiliative	17	NO
08/07/2019 12:19	MAKO		Other	Other	30	NO
08/07/2019 12:19	FANA	MAKO	Touching	Affiliative	0	YES
08/07/2019 12:20	MAKO	LOME	Playing with	Affiliative	33	NO
08/07/2019 12:20	MAKO	FANA	Playing with	Affiliative	24	NO
08/07/2019 12:21	MAKO		Other	Other	8	NO
08/07/2019 12:21	MAKO	LOME	Playing with	Affiliative	4	NO
08/07/2019 12:21	MAKO		Other	Other	71	NO
08/07/2019 12:22	MAKO		Invisible	Other	23	NO
08/07/2019 12:22	ARIELLE		Other	Other	34	NO
08/07/2019 12:23	ARIELLE		Resting	Affiliative	246	NO
08/07/2019 12:27	ARIELLE	VIOLETTE	Resting	Affiliative	34	NO
08/07/2019 12:27	ARIELLE	MUSE	Resting	Affiliative	34	NO
08/07/2019 12:28	KALI		Other	Other	124	NO
08/07/2019 12:30	KALI	EWINE	Resting	Affiliative	135	NO
08/07/2019 12:30	KALI	PETOULETTE	Resting	Affiliative	135	NO
08/07/2019 12:32	KALI		Other	Other	22	NO
08/07/2019 12:33	FANA		Resting	Affiliative	9	NO
08/07/2019 12:33	FANA		Other	Other	8	NO
08/07/2019 12:33	FANA		Resting	Affiliative	94	NO
08/07/2019 12:35	FANA		Other	Other	14	NO
08/07/2019 12:35	FANA	LIPS	Playing with	Affiliative	6	NO
08/07/2019 12:35	FANA		Other	Other	13	NO
08/07/2019 12:35	FANA		Resting	Affiliative	31	NO
08/07/2019 12:36	FANA		Other	Other	28	NO
08/07/2019 12:36	FANA		Resting	Affiliative	47	NO
08/07/2019 12:37	FANA	FELIPE	Presenting	Affiliative	0	YES
08/07/2019 12:37	FELIPE	FANA	Touching	Affiliative	0	YES
08/07/2019 12:37	FANA		Other	Other	24	NO
08/07/2019 12:38	FANA	LIPS	Playing with	Affiliative	8	NO
08/07/2019 12:38	FANA		Other	Other	3	NO
08/07/2019 12:38	FANA	LIPS	Playing with	Affiliative	2	NO
08/07/2019 14:25	LIPS		Invisible	Other	252	NO
08/07/2019 14:29	LIPS		Other	Other	4	NO
08/07/2019 14:29	LIPS		Invisible	Other	40	NO
08/07/2019 14:30	NEKKE		Resting	Affiliative	37	NO
08/07/2019 14:30	NEKKE		Other	Other	102	NO
08/07/2019 14:32	NEKKE	FELIPE	Presenting	Affiliative	0	YES
08/07/2019 14:32	NEKKE	FELIPE	Grunting-Lipsmacking	Affiliative	0	YES
08/07/2019 14:32	FELIPE	NEKKE	Carrying	Other	8	NO
08/07/2019 14:32	NEKKE	FELIPE	Resting	Affiliative	15	NO
08/07/2019 14:33	NEKKE		Other	Other	27	NO
08/07/2019 14:33	NEKKE	LOME	Resting	Affiliative	12	NO
08/07/2019 14:33	NEKKE	FANA	Resting	Affiliative	12	NO
08/07/2019 14:33	NEKKE	FELIPE	Resting	Affiliative	12	NO
08/07/2019 14:33	NEKKE	FANA	Grooming	Affiliative	22	NO
08/07/2019 14:34	FANA	NEKKE	Touching	Affiliative	0	YES
08/07/2019 14:34	NEKKE		Other	Other	66	NO
